        Accel-X: -1.74499512	Y: 0.99060059	Z: 10.02807617	|  Gyro-X: -3.55895996	Y: 3.28231812	Z: -2.17575073
        Accel-X: -1.62475586	Y: 0.75073242	Z: 10.16540527	|  Gyro-X: 1.52526855	Y: 2.17575073	Z: -3.24493408
        Accel-X: -1.62170410	Y: 0.87158203	Z: 9.98901367	|  Gyro-X: 5.02441406	Y: 4.02252197	Z: -2.90847778
        Accel-X: -1.57348633	Y: 0.94604492	Z: 9.85168457	|  Gyro-X: -0.97946167	Y: 4.12719727	Z: 0.40374756
        Accel-X: -1.52893066	Y: 1.10107422	Z: 9.89807129	|  Gyro-X: -1.77200317	Y: 3.08044434	Z: 0.70281982
        Accel-X: -1.65832520	Y: 0.99853516	Z: 9.96948242	|  Gyro-X: 3.51409912	Y: 2.98324585	Z: -1.78695679
        Accel-X: -1.66809082	Y: 1.11145020	Z: 9.88830566	|  Gyro-X: 7.52166748	Y: 3.34213257	Z: -2.25051880
        Accel-X: -1.63513184	Y: 1.20300293	Z: 9.74975586	|  Gyro-X: -2.78137207	Y: 2.83370972	Z: 1.51031494
        Accel-X: -1.63818359	Y: 1.31286621	Z: 9.82971191	|  Gyro-X: -1.00936890	Y: 1.86172485	Z: -0.28411865
        Accel-X: -1.67297363	Y: 1.01928711	Z: 9.78027344	|  Gyro-X: 4.84497070	Y: 1.73461914	Z: -2.84866333
        Accel-X: -1.80175781	Y: 1.25427246	Z: 9.69055176	|  Gyro-X: 4.59823608	Y: 1.77200317	Z: -1.33834839
        Accel-X: -1.60034180	Y: 1.41601562	Z: 9.90661621	|  Gyro-X: 2.96081543	Y: 0.55328369	Z: -1.44302368
        Accel-X: -1.63452148	Y: 1.27075195	Z: 9.99023438	|  Gyro-X: 3.05801392	Y: 1.33834839	Z: -2.90847778
        Accel-X: -1.75354004	Y: 1.12670898	Z: 9.82238770	|  Gyro-X: 1.36077881	Y: 1.26358032	Z: -3.21502686
        Accel-X: -1.64184570	Y: 1.36535645	Z: 9.86694336	|  Gyro-X: -0.33645630	Y: 0.37384033	Z: -2.59445190
        Accel-X: -1.58569336	Y: 0.94238281	Z: 9.94750977	|  Gyro-X: -2.33276367	Y: -0.20935059	Z: -3.17016602
        Accel-X: -1.63757324	Y: 0.97839355	Z: 10.07507324	|  Gyro-X: -0.89721680	Y: 0.68038940	Z: -2.59445190
        Accel-X: -1.52099609	Y: 1.00341797	Z: 10.11718750	|  Gyro-X: 0.80749512	Y: 0.83740234	Z: -2.24304199
        Accel-X: -1.62475586	Y: 0.95764160	Z: 9.98779297	|  Gyro-X: 1.18133545	Y: 2.42248535	Z: -1.44302368
        
