        Accel-X: -10.92468262	Y: -0.83679199	Z: -0.23803711	|  Gyro-X: 3.83560181	Y: 0.93460083	Z: -3.69354248
        Accel-X: -11.04675293	Y: -0.77026367	Z: -0.21850586	|  Gyro-X: 5.30105591	Y: 2.37762451	Z: -4.74777222
        Accel-X: -11.10046387	Y: -0.76904297	Z: -0.24841309	|  Gyro-X: 4.28421021	Y: 2.07855225	Z: -4.44122314
        Accel-X: -10.97900391	Y: -0.79589844	Z: -0.11962891	|  Gyro-X: 1.49536133	Y: 1.17385864	Z: -3.74588013
        Accel-X: -11.00952148	Y: -0.85205078	Z: -0.11169434	|  Gyro-X: -0.50842285	Y: 2.22808838	Z: -3.85055542
        Accel-X: -11.04309082	Y: -1.01196289	Z: -0.18737793	|  Gyro-X: 0.17944336	Y: 3.11035156	Z: -4.51599121
        Accel-X: -11.05041504	Y: -0.93627930	Z: -0.13549805	|  Gyro-X: 5.87677002	Y: 3.06549072	Z: -4.59075928
        Accel-X: -11.08459473	Y: -0.72692871	Z: -0.15197754	|  Gyro-X: 4.53842163	Y: 3.94027710	Z: -4.89730835
        Accel-X: -11.08337402	Y: -0.89538574	Z: -0.23437500	|  Gyro-X: -0.35140991	Y: 3.88793945	Z: -4.25430298
        Accel-X: -11.03027344	Y: -1.13525391	Z: -0.19409180	|  Gyro-X: -1.09909058	Y: 2.99072266	Z: -4.49356079
        Accel-X: -11.14318848	Y: -1.10046387	Z: -0.35339355	|  Gyro-X: 3.36456299	Y: 4.91226196	Z: -4.17205811
        Accel-X: -11.22436523	Y: -1.00280762	Z: -0.20996094	|  Gyro-X: 5.21881104	Y: 4.08233643	Z: -3.98513794
        Accel-X: -11.09069824	Y: -0.94116211	Z: -0.28686523	|  Gyro-X: 4.43374634	Y: 2.06359863	Z: -3.52157593
        Accel-X: -11.10595703	Y: -0.85449219	Z: -0.37902832	|  Gyro-X: 2.01126099	Y: 2.76641846	Z: -3.06549072
        Accel-X: -11.19140625	Y: -1.00952148	Z: -0.28808594	|  Gyro-X: 0.33645630	Y: 2.43743896	Z: -2.80380249
        Accel-X: -11.11633301	Y: -0.95336914	Z: -0.13916016	|  Gyro-X: 2.82623291	Y: 1.50283813	Z: -2.63931274
        Accel-X: -11.05041504	Y: -0.78674316	Z: -0.35339355	|  Gyro-X: 5.37582397	Y: 1.45797729	Z: -3.11782837
        Accel-X: -11.06567383	Y: -0.76416016	Z: -0.35705566	|  Gyro-X: 4.16458130	Y: 1.86920166	Z: -4.08981323
        Accel-X: -11.07055664	Y: -0.76782227	Z: -0.20263672	|  Gyro-X: 1.86172485	Y: 1.57012939	Z: -4.50851440
        
