        Accel-X: -8.75427246	Y: -4.03808594	Z: -4.33288574	|  Gyro-X: 23.55941772	Y: 4.35897827	Z: -5.78704834
        Accel-X: -8.63098145	Y: -3.94531250	Z: -4.48059082	|  Gyro-X: 17.63031006	Y: 6.06369019	Z: -5.40573120
        Accel-X: -8.18542480	Y: -4.69421387	Z: -4.16503906	|  Gyro-X: 9.19647217	Y: 4.55337524	Z: -6.37771606
        Accel-X: -8.39355469	Y: -4.19799805	Z: -4.93896484	|  Gyro-X: 11.05072021	Y: 13.40591431	Z: -3.25988770
        Accel-X: -8.58215332	Y: -4.38659668	Z: -4.97741699	|  Gyro-X: 8.41140747	Y: 12.46383667	Z: -0.97946167
        Accel-X: -8.66821289	Y: -4.60571289	Z: -4.78515625	|  Gyro-X: 4.55337524	Y: 7.56652832	Z: 0.11215210
        Accel-X: -8.61206055	Y: -4.80224609	Z: -4.39331055	|  Gyro-X: 15.91064453	Y: 7.67868042	Z: 1.46545410
        Accel-X: -8.94470215	Y: -4.26635742	Z: -5.13305664	|  Gyro-X: 23.32015991	Y: 11.05072021	Z: 2.65426636
        Accel-X: -8.71887207	Y: -3.89709473	Z: -4.88037109	|  Gyro-X: 17.26394653	Y: 4.41879272	Z: 0.73272705
        Accel-X: -8.37036133	Y: -4.28466797	Z: -4.53796387	|  Gyro-X: 12.98721313	Y: 2.73651123	Z: 0.00747681
        Accel-X: -8.56262207	Y: -3.96118164	Z: -4.97924805	|  Gyro-X: 16.41159058	Y: 10.92361450	Z: 2.30285645
        Accel-X: -8.67492676	Y: -3.37768555	Z: -5.42175293	|  Gyro-X: 12.96478271	Y: 12.50869751	Z: 1.98135376
        Accel-X: -8.55224609	Y: -3.90563965	Z: -5.13183594	|  Gyro-X: 3.09539795	Y: 6.98333740	Z: 0.09719849
        Accel-X: -8.56872559	Y: -3.89770508	Z: -5.34790039	|  Gyro-X: 8.91235352	Y: 8.98712158	Z: 1.55517578
        Accel-X: -8.72192383	Y: -3.41430664	Z: -5.37414551	|  Gyro-X: 6.99081421	Y: 3.46176147	Z: -0.11215210
        Accel-X: -8.50280762	Y: -4.01000977	Z: -5.05310059	|  Gyro-X: 6.28799438	Y: -1.60751343	Z: -2.31781006
        Accel-X: -8.84887695	Y: -3.64868164	Z: -5.64453125	|  Gyro-X: 9.42077637	Y: 2.63183594	Z: -1.71218872
        Accel-X: -8.69079590	Y: -3.55346680	Z: -5.38757324	|  Gyro-X: 5.54031372	Y: -1.05422974	Z: -3.40194702
        Accel-X: -8.65295410	Y: -4.00817871	Z: -4.94384766	|  Gyro-X: 0.61309814	Y: -1.00936890	Z: -4.00009155
        
