        Accel-X: -1.61926270	Y: 1.61071777	Z: 9.69238281	|  Gyro-X: -1.00936890	Y: 2.77389526	Z: -0.20935059
        Accel-X: -1.67480469	Y: 1.71447754	Z: 9.84863281	|  Gyro-X: 8.56842041	Y: 1.00936890	Z: -3.92532349
        Accel-X: -1.75659180	Y: 1.55395508	Z: 9.91760254	|  Gyro-X: 11.08810425	Y: 1.35330200	Z: -4.19448853
        Accel-X: -1.76757812	Y: 1.83227539	Z: 9.76318359	|  Gyro-X: 7.17025757	Y: 3.14025879	Z: -1.42807007
        Accel-X: -1.74987793	Y: 1.90979004	Z: 9.88647461	|  Gyro-X: 6.09359741	Y: 2.15332031	Z: -3.63372803
        Accel-X: -1.71325684	Y: 1.72607422	Z: 9.99084473	|  Gyro-X: 1.74957275	Y: 0.29159546	Z: -5.46554565
        Accel-X: -1.76696777	Y: 1.76757812	Z: 10.08666992	|  Gyro-X: -9.20394897	Y: -0.53833008	Z: -3.06549072
        Accel-X: -1.81396484	Y: 1.51611328	Z: 9.99206543	|  Gyro-X: -15.08819580	Y: 0.44113159	Z: -3.08792114
        Accel-X: -1.61071777	Y: 1.25732422	Z: 10.28381348	|  Gyro-X: -10.46752930	Y: 0.90469360	Z: -3.43185425
        Accel-X: -1.76025391	Y: 1.23352051	Z: 10.33264160	|  Gyro-X: -4.00756836	Y: 3.48419189	Z: -2.09350586
        Accel-X: -1.59179688	Y: 1.33911133	Z: 10.20263672	|  Gyro-X: 4.05990601	Y: 3.97018433	Z: -2.10098267
        Accel-X: -1.72729492	Y: 1.46728516	Z: 10.12451172	|  Gyro-X: 14.84893799	Y: 4.94964600	Z: -5.39825439
        Accel-X: -1.68029785	Y: 1.41906738	Z: 10.08972168	|  Gyro-X: 16.28448486	Y: 4.37393188	Z: -6.87118530
        Accel-X: -1.84387207	Y: 1.45446777	Z: 10.03051758	|  Gyro-X: 5.50292969	Y: 5.64498901	Z: -4.70291138
        Accel-X: -1.78527832	Y: 1.33117676	Z: 9.99389648	|  Gyro-X: 5.68237305	Y: 5.51788330	Z: -6.10855103
        Accel-X: -1.74377441	Y: 1.30615234	Z: 9.75891113	|  Gyro-X: 5.51040649	Y: 4.33654785	Z: -6.34033203
        Accel-X: -1.73950195	Y: 1.34643555	Z: 9.48425293	|  Gyro-X: -3.58139038	Y: 4.23934937	Z: -3.00567627
        
