        Accel-X: -1.94702148	Y: 0.78552246	Z: 9.96704102	|  Gyro-X: 3.79821777	Y: 0.05981445	Z: -3.30474854
        Accel-X: -2.01049805	Y: 0.79895020	Z: 9.95361328	|  Gyro-X: 5.81695557	Y: 0.32897949	Z: -2.49725342
        Accel-X: -2.08068848	Y: 0.99792480	Z: 9.95178223	|  Gyro-X: 2.78884888	Y: 1.09909058	Z: -0.90469360
        Accel-X: -2.00500488	Y: 0.87646484	Z: 10.10192871	|  Gyro-X: 2.49725342	Y: 0.50094604	Z: -2.61688232
        Accel-X: -2.01843262	Y: 0.87036133	Z: 10.11779785	|  Gyro-X: 3.25241089	Y: 0.62805176	Z: -2.82623291
        Accel-X: -2.15942383	Y: 1.07360840	Z: 9.92553711	|  Gyro-X: 1.17385864	Y: 2.09350586	Z: -1.46545410
        Accel-X: -2.14172363	Y: 1.01684570	Z: 9.95727539	|  Gyro-X: 0.26916504	Y: 2.14584351	Z: -1.85424805
        Accel-X: -2.07763672	Y: 0.82397461	Z: 10.10559082	|  Gyro-X: 0.93460083	Y: 1.60003662	Z: -2.98324585
        Accel-X: -2.09167480	Y: 0.94238281	Z: 10.11962891	|  Gyro-X: 3.80569458	Y: 1.25610352	Z: -2.77389526
        Accel-X: -2.08801270	Y: 0.87585449	Z: 10.03662109	|  Gyro-X: 5.65246582	Y: 1.89163208	Z: -3.52157593
        Accel-X: -2.12219238	Y: 0.88195801	Z: 9.83947754	|  Gyro-X: 6.55715942	Y: 1.86920166	Z: -4.03747559
        Accel-X: -2.16369629	Y: 0.88073730	Z: 9.89257812	|  Gyro-X: 7.24502563	Y: 1.47293091	Z: -4.36645508
        Accel-X: -2.12829590	Y: 0.77026367	Z: 9.86633301	|  Gyro-X: 5.74966431	Y: 1.62994385	Z: -3.73092651
        Accel-X: -2.13867188	Y: 0.83129883	Z: 9.79125977	|  Gyro-X: 5.90667725	Y: 2.19070435	Z: -2.96829224
        Accel-X: -2.11303711	Y: 0.69030762	Z: 9.77050781	|  Gyro-X: 7.78335571	Y: 1.87667847	Z: -4.30664062
        
