        Accel-X: -11.08520508	Y: 0.18554688	Z: 1.19689941	|  Gyro-X: -2.18322754	Y: 0.52337646	Z: -1.83181763
        Accel-X: -11.17126465	Y: -0.37597656	Z: 1.24084473	|  Gyro-X: -1.98135376	Y: 1.27853394	Z: -1.54022217
        Accel-X: -11.20300293	Y: -0.26489258	Z: 1.28967285	|  Gyro-X: 3.86550903	Y: 0.91217041	Z: -2.33276367
        Accel-X: -11.34948730	Y: -0.13671875	Z: 1.36169434	|  Gyro-X: 5.95901489	Y: 1.38320923	Z: -2.31781006
        Accel-X: -11.17004395	Y: 0.00000000	Z: 1.29943848	|  Gyro-X: 1.33834839	Y: 2.03369141	Z: -2.44491577
        Accel-X: -11.27929688	Y: -0.29174805	Z: 1.20239258	|  Gyro-X: -2.04864502	Y: 1.85424805	Z: -2.01873779
        Accel-X: -11.37084961	Y: -0.37719727	Z: 1.14379883	|  Gyro-X: 1.42807007	Y: 1.59255981	Z: -2.12341309
        Accel-X: -11.27014160	Y: -0.24414062	Z: 1.22314453	|  Gyro-X: 3.80569458	Y: 0.81497192	Z: -2.57949829
        Accel-X: -11.22314453	Y: -0.23376465	Z: 1.29516602	|  Gyro-X: 4.25430298	Y: 0.54580688	Z: -2.61688232
        Accel-X: -11.26586914	Y: -0.20263672	Z: 1.21093750	|  Gyro-X: 3.80569458	Y: 0.59066772	Z: -2.35519409
        Accel-X: -11.12121582	Y: -0.15197754	Z: 1.28295898	|  Gyro-X: 2.63931274	Y: 0.54580688	Z: -2.15332031
        
