        Accel-X: -1.53442383	Y: 0.96374512	Z: 9.96337891	|  Gyro-X: 9.57031250	Y: 1.87667847	Z: -5.11413574
        Accel-X: -1.50573730	Y: 1.10473633	Z: 9.87487793	|  Gyro-X: 9.32357788	Y: 1.85424805	Z: -4.91973877
        Accel-X: -1.54418945	Y: 1.01379395	Z: 9.94934082	|  Gyro-X: 7.62634277	Y: 2.60192871	Z: -5.85433960
        Accel-X: -1.49719238	Y: 1.05895996	Z: 9.92736816	|  Gyro-X: 4.54589844	Y: 3.44680786	Z: -4.27673340
        Accel-X: -1.64550781	Y: 1.03027344	Z: 9.97375488	|  Gyro-X: 4.75524902	Y: 4.43374634	Z: -4.10476685
        Accel-X: -1.61499023	Y: 1.09436035	Z: 9.92980957	|  Gyro-X: 6.57211304	Y: 3.11035156	Z: -3.48419189
        Accel-X: -1.71325684	Y: 1.20727539	Z: 9.81262207	|  Gyro-X: 3.50662231	Y: 3.51409912	Z: -1.98883057
        Accel-X: -1.72546387	Y: 1.08398438	Z: 9.82727051	|  Gyro-X: 5.03936768	Y: 3.53652954	Z: -3.14025879
        Accel-X: -1.60217285	Y: 1.08459473	Z: 10.01037598	|  Gyro-X: 8.03756714	Y: 3.35708618	Z: -4.92721558
        Accel-X: -1.56005859	Y: 1.04736328	Z: 9.98901367	|  Gyro-X: 5.21133423	Y: 3.94027710	Z: -3.23745728
        Accel-X: -1.53076172	Y: 1.05163574	Z: 9.81933594	|  Gyro-X: 0.66543579	Y: 4.27673340	Z: -1.68228149
        Accel-X: -1.60949707	Y: 1.07482910	Z: 9.74670410	|  Gyro-X: 0.29907227	Y: 3.02062988	Z: -2.44491577
        Accel-X: -1.55700684	Y: 1.13098145	Z: 9.90417480	|  Gyro-X: -0.71777344	Y: 2.29537964	Z: -1.27105713
        Accel-X: -1.64550781	Y: 1.19995117	Z: 9.83520508	|  Gyro-X: -3.32717896	Y: 3.02810669	Z: -0.60562134
        
