        Accel-X: -1.66564941	Y: 2.16613770	Z: 9.58374023	|  Gyro-X: 3.41690063	Y: 1.34582520	Z: -3.93280029
        Accel-X: -1.69982910	Y: 2.10693359	Z: 9.56054688	|  Gyro-X: 3.53652954	Y: 0.04486084	Z: -4.46365356
        Accel-X: -1.68212891	Y: 2.06604004	Z: 9.72839355	|  Gyro-X: 4.09729004	Y: -0.07476807	Z: -3.05801392
        Accel-X: -1.59973145	Y: 2.03674316	Z: 9.69177246	|  Gyro-X: 3.48419189	Y: 0.41870117	Z: -0.51589966
        Accel-X: -1.66748047	Y: 2.25646973	Z: 9.70947266	|  Gyro-X: 4.32907104	Y: 0.35140991	Z: -1.03927612
        Accel-X: -1.55883789	Y: 2.20275879	Z: 9.93408203	|  Gyro-X: 6.13098145	Y: -0.74768066	Z: -2.92343140
        Accel-X: -1.56616211	Y: 2.12524414	Z: 10.07995605	|  Gyro-X: 4.64309692	Y: -0.62057495	Z: -2.87109375
        Accel-X: -1.42944336	Y: 2.17102051	Z: 10.03906250	|  Gyro-X: 0.20187378	Y: 0.79254150	Z: -0.91217041
        Accel-X: -1.52282715	Y: 2.18627930	Z: 9.87304688	|  Gyro-X: -2.20565796	Y: 1.58508301	Z: 0.63552856
        Accel-X: -1.50695801	Y: 2.17468262	Z: 10.00122070	|  Gyro-X: 1.15142822	Y: 1.48788452	Z: -1.20376587
        Accel-X: -1.57897949	Y: 2.20642090	Z: 9.94567871	|  Gyro-X: 2.39257812	Y: 1.21124268	Z: -0.66543579
        Accel-X: -1.50329590	Y: 2.20642090	Z: 9.75708008	|  Gyro-X: 3.18511963	Y: 1.59255981	Z: -0.62805176
        Accel-X: -1.61987305	Y: 2.38525391	Z: 9.69848633	|  Gyro-X: 5.38330078	Y: 0.41870117	Z: -2.43743896
        
